CustomerID,SeniorCitizen,Partner,Tenure,Contract,InternetService,TechSupport,MonthlyCharges,TotalCharges,SupportTickets,PaymentMethod,PaperlessBilling,Churn
US-1000,0,Yes,7,Two year,Fiber optic,No,111.45,744.06,1,Credit card,No,0
US-1001,0,No,35,One year,No,No,29.71,1050.62,2,Bank transfer,Yes,0
US-1002,0,No,55,Two year,No,No,20.67,1152.47,0,Electronic check,No,0
US-1003,0,No,14,Two year,Fiber optic,Yes,79.36,1093.62,1,Bank transfer,Yes,0
US-1004,1,No,10,Month-to-month,DSL,Yes,67.61,685.18,1,Electronic check,No,1
US-1005,1,No,16,Month-to-month,DSL,No,52.6,832.73,0,Credit card,No,1
US-1006,1,No,54,Month-to-month,DSL,No,71.85,3874.4,1,Mailed check,Yes,0
US-1007,0,No,70,Month-to-month,Fiber optic,Yes,95.83,6727.76,0,Electronic check,No,0
US-1008,0,Yes,44,Month-to-month,DSL,Yes,55.52,2428.02,2,Electronic check,No,1
US-1009,0,No,45,Month-to-month,Fiber optic,No,107.47,4821.27,0,Credit card,Yes,1
US-1010,1,Yes,56,Month-to-month,Fiber optic,Yes,92.2,5190.27,0,Mailed check,No,0
US-1011,0,No,57,Month-to-month,DSL,Yes,72.35,4121.77,3,Credit card,Yes,0
US-1012,0,No,21,Month-to-month,No,No,29.14,630.64,2,Electronic check,No,1
US-1013,0,Yes,68,Month-to-month,Fiber optic,No,77.44,5241.94,3,Electronic check,No,0
US-1014,1,No,50,Month-to-month,DSL,Yes,45.07,2230.72,3,Electronic check,Yes,1
US-1015,1,No,33,Month-to-month,No,No,29.81,970.04,3,Mailed check,No,1
US-1016,0,Yes,7,Month-to-month,DSL,No,72.18,498.04,3,Electronic check,Yes,1
US-1017,0,No,70,Month-to-month,Fiber optic,Yes,72.5,5053.95,1,Electronic check,Yes,0
US-1018,0,No,15,Two year,Fiber optic,Yes,107.49,1617.89,0,Bank transfer,Yes,0
US-1019,0,Yes,32,Month-to-month,Fiber optic,Yes,90.6,2905.72,0,Mailed check,Yes,0
US-1020,0,No,20,Month-to-month,No,No,21.11,408.73,1,Electronic check,No,0
US-1021,1,Yes,15,Month-to-month,Fiber optic,Yes,109.54,1630.82,1,Mailed check,Yes,0
US-1022,0,No,48,Two year,Fiber optic,Yes,78.85,3774.5,1,Bank transfer,Yes,0
US-1023,0,No,71,Two year,DSL,Yes,73.42,5195.35,0,Electronic check,No,0
US-1024,0,No,21,Two year,DSL,No,51.17,1031.14,1,Electronic check,Yes,0
US-1025,0,No,42,One year,No,No,25.36,1063.84,0,Electronic check,Yes,0
